CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Avg_Monthly_Spend
C00093,18,29,7469,Month-to-month,Electronic Check,Yes,0,0,393.10526315789474
C00094,55,193,4344,Two year,Bank Transfer,No,1,0,77.57142857142857
C00095,21,140,3171,One year,Electronic Check,No,1,0,144.13636363636363
C00096,20,150,1780,Month-to-month,Electronic Check,Yes,0,0,84.76190476190476
C00097,15,40,510,Month-to-month,Bank Transfer,No,0,0,31.875
C00098,42,172,1168,Month-to-month,Bank Transfer,No,1,0,27.162790697674417
C00099,10,143,3353,Two year,Electronic Check,No,1,1,304.8181818181818
C00100,39,84,7566,One year,Electronic Check,No,1,0,189.15
C00101,66,170,1059,Month-to-month,Electronic Check,No,1,0,15.805970149253731
C00102,50,130,1087,One year,Electronic Check,Yes,1,0,21.313725490196077
C00103,44,78,6369,One year,Bank Transfer,Yes,1,0,141.53333333333333
C00104,7,39,6651,One year,Electronic Check,Yes,1,0,831.375
C00105,3,115,5547,Two year,Bank Transfer,No,0,1,1386.75
C00106,21,75,7026,Two year,Bank Transfer,Yes,1,0,319.3636363636364
C00107,3,59,7111,Month-to-month,Credit Card,Yes,1,1,1777.75
C00108,18,56,7925,One year,Electronic Check,No,0,0,417.10526315789474
C00109,48,152,4042,One year,Electronic Check,Yes,1,0,82.48979591836735
C00110,32,24,2939,Two year,Electronic Check,Yes,1,0,89.06060606060606
C00111,41,88,3461,One year,Bank Transfer,Yes,1,0,82.4047619047619
C00112,55,87,3353,Two year,Credit Card,No,1,0,59.875
C00113,15,102,1746,Month-to-month,Credit Card,No,1,0,109.125
C00114,31,111,2539,Month-to-month,Credit Card,No,0,0,79.34375
C00115,33,160,2315,One year,Bank Transfer,No,0,0,68.08823529411765
C00116,70,164,5320,One year,Credit Card,No,0,0,74.92957746478874
C00117,14,187,2225,Two year,Electronic Check,Yes,0,0,148.33333333333334
C00118,35,98,4023,Two year,Bank Transfer,Yes,0,0,111.75
C00119,56,83,562,Month-to-month,Bank Transfer,Yes,0,0,9.859649122807017
C00120,62,75,2451,One year,Credit Card,No,0,0,38.904761904761905
C00121,30,107,6906,One year,Credit Card,Yes,1,0,222.7741935483871
C00122,15,147,2687,One year,Electronic Check,No,0,0,167.9375
C00123,41,114,2419,Two year,Bank Transfer,No,1,0,57.595238095238095
C00124,27,50,2751,Two year,Electronic Check,Yes,1,0,98.25
C00125,4,177,950,Month-to-month,Credit Card,Yes,0,1,190.0
C00126,62,183,7208,Two year,Electronic Check,Yes,1,0,114.41269841269842
C00127,31,62,5887,One year,Bank Transfer,No,1,0,183.96875
C00128,13,137,7128,One year,Bank Transfer,Yes,0,0,509.14285714285717
C00129,20,179,2692,Month-to-month,Bank Transfer,Yes,1,0,128.1904761904762
C00130,8,174,3979,Two year,Credit Card,Yes,0,1,442.1111111111111
C00131,2,125,7858,Month-to-month,Electronic Check,No,1,1,2619.3333333333335
C00132,3,79,891,Month-to-month,Credit Card,No,1,1,222.75
C00133,48,92,5908,Two year,Bank Transfer,Yes,0,0,120.57142857142857
C00134,15,28,6569,Month-to-month,Credit Card,No,1,0,410.5625
C00135,64,101,5706,Month-to-month,Bank Transfer,Yes,1,0,87.78461538461538
C00136,52,152,4318,Two year,Bank Transfer,Yes,0,0,81.47169811320755
C00137,10,134,4476,Month-to-month,Electronic Check,No,0,1,406.90909090909093
C00138,30,188,4095,Two year,Electronic Check,Yes,0,0,132.09677419354838
C00139,27,67,3567,Month-to-month,Credit Card,Yes,1,0,127.39285714285714
C00140,2,184,5021,One year,Electronic Check,Yes,1,1,1673.6666666666667
C00141,46,112,6817,Two year,Electronic Check,No,0,0,145.04255319148936
C00142,11,115,1713,Two year,Bank Transfer,Yes,1,1,142.75
C00143,64,167,3677,Month-to-month,Bank Transfer,No,0,0,56.56923076923077
C00144,65,47,5540,One year,Bank Transfer,Yes,1,0,83.93939393939394
C00145,21,173,7651,Two year,Bank Transfer,Yes,0,0,347.77272727272725
C00146,29,42,2058,One year,Credit Card,No,1,0,68.6
C00147,6,133,7448,One year,Credit Card,No,0,1,1064.0
C00148,34,24,2004,Two year,Bank Transfer,Yes,1,0,57.25714285714286
C00149,20,114,1250,One year,Bank Transfer,Yes,0,0,59.523809523809526
C00150,42,132,3139,Month-to-month,Electronic Check,No,0,0,73.0
C00151,5,105,5965,One year,Credit Card,No,0,1,994.1666666666666
C00152,45,139,7654,Month-to-month,Credit Card,No,1,0,166.3913043478261
C00153,21,156,6366,Two year,Electronic Check,No,0,0,289.3636363636364
C00154,37,158,3355,Two year,Electronic Check,No,0,0,88.28947368421052
C00155,68,40,5920,Month-to-month,Bank Transfer,Yes,1,0,85.79710144927536
C00156,26,148,4601,One year,Bank Transfer,Yes,0,0,170.40740740740742
C00157,26,78,5632,Two year,Electronic Check,Yes,1,0,208.59259259259258
C00158,1,86,7217,Two year,Bank Transfer,Yes,0,0,3608.5
C00159,47,182,3250,One year,Electronic Check,No,1,0,67.70833333333333
C00160,30,154,4096,One year,Bank Transfer,Yes,0,0,132.1290322580645
C00161,51,78,984,Month-to-month,Electronic Check,Yes,1,0,18.923076923076923
C00162,13,90,347,One year,Electronic Check,Yes,0,0,24.785714285714285
C00163,64,185,3916,One year,Credit Card,Yes,1,0,60.246153846153845
C00164,60,171,220,Month-to-month,Credit Card,No,1,0,3.6065573770491803
C00165,69,48,3419,One year,Bank Transfer,Yes,1,0,48.84285714285714
C00166,40,105,791,One year,Credit Card,Yes,0,0,19.29268292682927
C00167,23,110,6723,Two year,Bank Transfer,Yes,1,0,280.125
C00168,42,80,5832,One year,Electronic Check,No,1,0,135.62790697674419
C00169,13,99,2938,Month-to-month,Credit Card,No,0,0,209.85714285714286
C00170,24,84,6882,One year,Credit Card,Yes,0,0,275.28
C00171,22,61,5363,Two year,Bank Transfer,Yes,1,0,233.17391304347825
C00172,10,115,3717,One year,Electronic Check,Yes,0,1,337.90909090909093
C00173,62,160,1811,Month-to-month,Credit Card,Yes,1,0,28.746031746031747
C00174,5,145,1090,Month-to-month,Credit Card,No,1,1,181.66666666666666
C00175,20,76,6396,Two year,Credit Card,Yes,1,0,304.57142857142856
C00176,68,67,1797,Two year,Electronic Check,No,1,0,26.043478260869566
C00177,42,50,279,One year,Electronic Check,No,0,0,6.488372093023256
C00178,3,180,3232,One year,Bank Transfer,No,0,0,808.0
C00179,68,193,3285,One year,Credit Card,No,0,0,47.608695652173914
C00180,52,39,3233,Two year,Credit Card,Yes,1,0,61.0
C00181,4,135,4742,Month-to-month,Credit Card,No,1,1,948.4
C00182,13,64,4297,Month-to-month,Bank Transfer,Yes,1,0,306.92857142857144
C00183,56,151,735,Two year,Credit Card,Yes,1,0,12.894736842105264
C00184,61,29,2290,One year,Credit Card,Yes,0,0,36.935483870967744
C00185,47,130,2289,Month-to-month,Bank Transfer,Yes,0,0,47.6875
C00186,59,93,7342,Month-to-month,Bank Transfer,No,0,0,122.36666666666666
C00187,47,199,6905,Two year,Electronic Check,Yes,1,0,143.85416666666666
C00188,49,163,3776,One year,Bank Transfer,No,0,0,75.52
C00189,31,100,4971,One year,Electronic Check,Yes,0,0,155.34375
C00190,52,185,7330,Two year,Credit Card,Yes,0,0,138.30188679245282
C00191,46,51,466,One year,Bank Transfer,Yes,0,0,9.914893617021276
C00192,43,31,7992,Month-to-month,Credit Card,No,0,0,181.63636363636363
C00193,65,158,3712,One year,Credit Card,No,0,0,56.24242424242424
C00194,71,138,6231,Month-to-month,Electronic Check,No,0,0,86.54166666666667
C00195,27,121,4317,One year,Bank Transfer,No,0,0,154.17857142857142
C00196,30,133,3029,Month-to-month,Credit Card,Yes,1,0,97.70967741935483
C00197,37,152,2750,One year,Credit Card,No,0,0,72.36842105263158
C00198,37,34,6987,Month-to-month,Electronic Check,No,1,0,183.8684210526316
C00199,3,63,1535,Two year,Electronic Check,No,0,0,383.75
C00200,42,143,7310,One year,Electronic Check,Yes,0,0,170.0
C00201,50,170,3185,Two year,Electronic Check,No,0,0,62.450980392156865
C00202,50,169,159,One year,Bank Transfer,No,0,0,3.1176470588235294
C00203,29,189,5035,One year,Credit Card,Yes,1,0,167.83333333333334
C00204,15,55,5421,Two year,Credit Card,No,0,0,338.8125
C00205,69,40,3396,Month-to-month,Credit Card,Yes,0,0,48.51428571428571
C00206,69,94,5765,Month-to-month,Electronic Check,Yes,0,0,82.35714285714286
C00207,57,32,4351,One year,Bank Transfer,No,0,0,75.01724137931035
C00208,70,171,4801,Month-to-month,Electronic Check,No,0,0,67.61971830985915
C00209,46,199,4023,Month-to-month,Electronic Check,Yes,0,0,85.59574468085107
C00210,65,82,7742,Two year,Credit Card,Yes,0,0,117.3030303030303
C00211,65,113,2956,Month-to-month,Credit Card,Yes,0,0,44.78787878787879
C00212,51,160,4278,Two year,Credit Card,No,1,0,82.26923076923077
C00213,44,59,1893,Month-to-month,Credit Card,Yes,0,0,42.06666666666667
C00214,7,142,3099,Month-to-month,Bank Transfer,No,1,1,387.375
C00215,59,29,1393,One year,Electronic Check,Yes,0,0,23.216666666666665
C00216,8,102,2161,One year,Bank Transfer,Yes,1,0,240.11111111111111
C00217,10,152,5250,Month-to-month,Credit Card,Yes,1,1,477.27272727272725
C00218,67,182,6193,Two year,Bank Transfer,Yes,0,0,91.07352941176471
C00219,45,177,3091,One year,Bank Transfer,No,0,0,67.19565217391305
C00220,33,198,2226,Two year,Bank Transfer,Yes,0,0,65.47058823529412
C00221,57,118,5412,Two year,Credit Card,No,1,0,93.3103448275862
C00222,67,37,1247,Month-to-month,Credit Card,No,1,0,18.33823529411765
C00223,31,70,1256,Month-to-month,Credit Card,No,0,0,39.25
C00224,19,43,6118,One year,Electronic Check,Yes,0,0,305.9
C00225,40,156,7024,One year,Electronic Check,No,0,0,171.3170731707317
C00226,24,142,7012,One year,Credit Card,Yes,0,0,280.48
C00227,57,123,5830,Month-to-month,Bank Transfer,Yes,0,0,100.51724137931035
C00228,53,183,4023,Two year,Electronic Check,Yes,1,0,74.5
C00229,24,32,1635,One year,Bank Transfer,No,1,0,65.4
C00230,32,149,5477,Two year,Bank Transfer,No,1,0,165.96969696969697
C00231,33,99,3225,One year,Credit Card,No,1,0,94.8529411764706
C00232,20,151,2681,One year,Credit Card,No,1,0,127.66666666666667
C00233,12,52,7459,Two year,Electronic Check,No,0,0,573.7692307692307
C00234,61,24,217,One year,Electronic Check,No,1,0,3.5
C00235,65,94,7183,One year,Bank Transfer,No,1,0,108.83333333333333
C00236,13,115,6305,Two year,Credit Card,No,1,0,450.35714285714283
C00237,61,51,810,One year,Bank Transfer,No,0,0,13.064516129032258
C00238,33,151,6705,Month-to-month,Bank Transfer,No,1,0,197.2058823529412
C00239,21,138,6404,Two year,Credit Card,Yes,1,0,291.09090909090907
C00240,56,108,6378,Two year,Bank Transfer,Yes,1,0,111.89473684210526
C00241,69,121,7669,One year,Electronic Check,Yes,0,0,109.55714285714286
C00242,16,196,7704,Two year,Electronic Check,No,0,0,453.1764705882353
C00243,28,33,1099,Two year,Credit Card,No,1,0,37.89655172413793
C00244,53,123,4561,One year,Bank Transfer,Yes,1,0,84.46296296296296
C00245,23,104,2991,Two year,Electronic Check,No,0,0,124.625
C00246,15,60,3032,Month-to-month,Bank Transfer,No,1,0,189.5
C00247,43,130,6856,One year,Bank Transfer,No,0,0,155.8181818181818
C00248,60,48,4747,One year,Bank Transfer,No,1,0,77.81967213114754
C00249,48,79,3083,One year,Bank Transfer,Yes,1,0,62.91836734693877
C00250,58,90,3841,Two year,Electronic Check,No,1,0,65.10169491525424
C00251,24,48,1639,Month-to-month,Electronic Check,Yes,0,0,65.56
C00252,9,138,515,Two year,Credit Card,No,0,1,51.5
C00253,55,71,1965,Two year,Credit Card,Yes,1,0,35.089285714285715
C00254,26,182,3882,Month-to-month,Electronic Check,Yes,0,0,143.77777777777777
C00255,31,88,4230,Two year,Electronic Check,No,1,0,132.1875
C00256,29,178,7961,Two year,Electronic Check,Yes,0,0,265.3666666666667
C00257,65,30,6769,Month-to-month,Credit Card,No,0,0,102.56060606060606
C00258,50,120,1839,Two year,Credit Card,Yes,0,0,36.05882352941177
C00259,54,191,6674,Two year,Credit Card,No,1,0,121.34545454545454
C00260,31,85,1935,One year,Electronic Check,Yes,0,0,60.46875
C00261,49,41,7108,Two year,Bank Transfer,Yes,1,0,142.16
C00262,44,176,4069,Two year,Bank Transfer,No,0,0,90.42222222222222
C00263,1,39,2429,Month-to-month,Credit Card,Yes,1,1,1214.5
C00264,71,156,812,One year,Credit Card,No,0,0,11.277777777777779
C00265,34,172,1619,Two year,Electronic Check,Yes,1,0,46.25714285714286
C00266,6,115,1677,Two year,Bank Transfer,Yes,1,0,239.57142857142858
C00267,29,92,1792,Month-to-month,Credit Card,Yes,0,0,59.733333333333334
C00268,69,177,2153,Two year,Bank Transfer,No,0,0,30.757142857142856
C00269,19,63,1186,Two year,Electronic Check,No,1,0,59.3
C00270,43,81,7187,Two year,Credit Card,No,1,0,163.3409090909091
C00271,8,160,7182,Month-to-month,Bank Transfer,No,1,1,798.0
C00272,43,85,6192,One year,Credit Card,Yes,1,0,140.72727272727272
C00273,29,64,6131,One year,Electronic Check,Yes,0,0,204.36666666666667
C00274,67,142,1008,Month-to-month,Electronic Check,No,1,0,14.823529411764707
C00275,66,196,2989,Month-to-month,Electronic Check,No,0,0,44.61194029850746
C00276,49,94,4521,One year,Bank Transfer,Yes,1,0,90.42
C00277,58,174,1493,Two year,Credit Card,No,0,0,25.305084745762713
C00278,3,72,4282,One year,Credit Card,Yes,0,0,1070.5
C00279,66,128,7087,One year,Electronic Check,No,1,0,105.77611940298507
C00280,57,43,6209,Two year,Bank Transfer,No,1,0,107.05172413793103
C00281,17,25,7759,Two year,Credit Card,No,1,0,431.05555555555554
C00282,18,158,7475,Two year,Electronic Check,Yes,0,0,393.42105263157896
C00283,2,56,7493,Month-to-month,Electronic Check,No,1,1,2497.6666666666665
C00284,13,94,261,Month-to-month,Bank Transfer,Yes,0,0,18.642857142857142
C00285,26,171,6538,Two year,Credit Card,Yes,0,0,242.14814814814815
C00286,48,80,6186,Month-to-month,Electronic Check,Yes,1,0,126.24489795918367
C00287,11,60,627,One year,Electronic Check,No,0,0,52.25
C00288,42,83,1173,One year,Bank Transfer,Yes,0,0,27.27906976744186
C00289,22,58,6472,One year,Electronic Check,No,1,0,281.39130434782606
C00290,57,123,5518,One year,Credit Card,Yes,1,0,95.13793103448276
C00291,63,177,5573,One year,Credit Card,Yes,0,0,87.078125
C00292,65,59,6420,Two year,Credit Card,No,0,0,97.27272727272727
C00293,13,140,727,One year,Bank Transfer,Yes,0,0,51.92857142857143
C00294,70,128,5423,Month-to-month,Bank Transfer,Yes,0,0,76.38028169014085
C00295,6,59,6657,Two year,Credit Card,No,0,0,951.0
C00296,66,44,1995,One year,Electronic Check,Yes,0,0,29.776119402985074
C00297,15,163,4659,Month-to-month,Credit Card,No,0,0,291.1875
C00298,66,136,7139,Month-to-month,Bank Transfer,No,0,0,106.55223880597015
C00299,47,193,5219,Two year,Credit Card,No,1,0,108.72916666666667
C00300,26,93,3151,One year,Electronic Check,Yes,0,0,116.70370370370371
C00301,14,176,5655,One year,Credit Card,Yes,1,0,377.0
C00302,65,84,1193,Month-to-month,Electronic Check,No,1,0,18.075757575757574
C00303,58,128,7204,Month-to-month,Bank Transfer,Yes,0,0,122.10169491525424
C00304,21,179,840,One year,Bank Transfer,Yes,1,0,38.18181818181818
C00305,61,61,7474,Month-to-month,Credit Card,No,1,0,120.54838709677419
C00306,11,88,7410,One year,Credit Card,No,0,0,617.5
C00307,20,107,2288,Two year,Bank Transfer,Yes,1,0,108.95238095238095
C00308,55,169,1513,Two year,Electronic Check,No,0,0,27.017857142857142
C00309,9,149,1431,Month-to-month,Electronic Check,No,0,1,143.1
C00310,41,98,7631,One year,Bank Transfer,Yes,0,0,181.6904761904762
C00311,58,72,6062,Month-to-month,Bank Transfer,No,0,0,102.7457627118644
C00312,61,177,5838,Month-to-month,Credit Card,Yes,1,0,94.16129032258064
C00313,32,100,7901,One year,Credit Card,Yes,0,0,239.42424242424244
C00314,46,192,169,Month-to-month,Bank Transfer,Yes,0,0,3.595744680851064
C00315,28,185,4320,One year,Credit Card,No,0,0,148.9655172413793
C00316,39,166,805,One year,Credit Card,No,1,0,20.125
C00317,61,99,6541,Month-to-month,Electronic Check,No,0,0,105.5
C00318,38,63,5531,Month-to-month,Electronic Check,No,1,0,141.82051282051282
C00319,34,90,7911,Month-to-month,Electronic Check,No,0,0,226.02857142857144
C00320,43,63,4351,Two year,Bank Transfer,Yes,0,0,98.88636363636364
C00321,25,156,3381,One year,Bank Transfer,No,1,0,130.03846153846155
C00322,52,60,2095,Two year,Bank Transfer,Yes,1,0,39.528301886792455
C00323,18,147,2845,Month-to-month,Bank Transfer,Yes,0,0,149.73684210526315
C00324,9,55,4064,Month-to-month,Bank Transfer,Yes,0,1,406.4
C00325,57,80,177,One year,Credit Card,No,0,0,3.0517241379310347
C00326,45,125,5533,One year,Credit Card,No,0,0,120.28260869565217
C00327,51,98,6795,Two year,Credit Card,Yes,1,0,130.67307692307693
C00328,57,115,7867,Month-to-month,Electronic Check,Yes,0,0,135.63793103448276
C00329,29,90,2039,One year,Credit Card,No,0,0,67.96666666666667
C00330,50,151,3525,One year,Electronic Check,Yes,0,0,69.11764705882354
C00331,25,180,6676,Two year,Electronic Check,No,1,0,256.7692307692308
C00332,55,84,4026,Month-to-month,Credit Card,Yes,0,0,71.89285714285714
C00333,31,40,7644,One year,Credit Card,No,0,0,238.875
C00334,11,185,7387,One year,Bank Transfer,Yes,0,0,615.5833333333334
C00335,43,70,1690,Month-to-month,Bank Transfer,No,1,0,38.40909090909091
C00336,18,188,2878,Month-to-month,Electronic Check,No,0,0,151.47368421052633
C00337,9,24,3090,Two year,Electronic Check,No,1,0,309.0
C00338,6,161,458,Month-to-month,Electronic Check,Yes,0,1,65.42857142857143
C00339,28,95,6110,One year,Electronic Check,No,1,0,210.68965517241378
C00340,4,20,5182,Two year,Bank Transfer,Yes,1,0,1036.4
C00341,68,46,7768,Month-to-month,Electronic Check,No,0,0,112.57971014492753
C00342,58,142,1452,One year,Credit Card,Yes,1,0,24.610169491525422
C00343,67,67,1052,Month-to-month,Electronic Check,Yes,1,0,15.470588235294118
C00344,32,80,2998,Two year,Electronic Check,Yes,1,0,90.84848484848484
C00345,65,29,3138,One year,Bank Transfer,No,1,0,47.54545454545455
C00346,10,89,6631,Month-to-month,Electronic Check,No,0,1,602.8181818181819
C00347,65,178,4809,One year,Electronic Check,No,0,0,72.86363636363636
C00348,3,129,7607,Month-to-month,Bank Transfer,No,1,1,1901.75
C00349,32,138,714,One year,Electronic Check,No,0,0,21.636363636363637
C00350,54,181,6354,Month-to-month,Electronic Check,Yes,0,0,115.52727272727273
C00351,57,187,774,One year,Bank Transfer,Yes,0,0,13.344827586206897
C00352,34,38,7888,Month-to-month,Credit Card,Yes,1,0,225.37142857142857
C00353,6,137,4804,One year,Electronic Check,Yes,0,1,686.2857142857143
C00354,7,54,1631,One year,Credit Card,Yes,1,0,203.875
C00355,39,170,4762,Month-to-month,Electronic Check,No,0,0,119.05
C00356,44,68,1931,Two year,Bank Transfer,No,1,0,42.91111111111111
C00357,47,46,7361,One year,Credit Card,Yes,1,0,153.35416666666666
C00358,66,184,1534,Month-to-month,Electronic Check,Yes,0,0,22.895522388059703
C00359,46,119,656,Month-to-month,Bank Transfer,No,1,0,13.957446808510639
C00360,49,168,4471,Two year,Bank Transfer,Yes,1,0,89.42
C00361,45,118,4416,Two year,Bank Transfer,No,0,0,96.0
C00362,5,134,3651,One year,Credit Card,Yes,1,1,608.5
C00363,30,138,1585,One year,Bank Transfer,Yes,0,0,51.12903225806452
C00364,48,53,7371,Two year,Credit Card,No,0,0,150.42857142857142
C00365,17,24,1389,One year,Bank Transfer,No,0,0,77.16666666666667
C00366,17,124,1196,Month-to-month,Credit Card,No,1,0,66.44444444444444
C00367,33,101,2979,Two year,Credit Card,Yes,0,0,87.61764705882354
C00368,10,81,5158,One year,Electronic Check,Yes,1,0,468.90909090909093
C00369,37,58,5083,Month-to-month,Credit Card,No,1,0,133.76315789473685
C00370,32,148,2526,Two year,Electronic Check,No,1,0,76.54545454545455
C00371,20,49,5058,One year,Electronic Check,No,1,0,240.85714285714286
C00372,14,27,2388,Two year,Bank Transfer,Yes,0,0,159.2
C00373,57,126,1514,Month-to-month,Bank Transfer,Yes,0,0,26.103448275862068
C00374,40,130,5612,One year,Electronic Check,Yes,1,0,136.8780487804878
C00375,29,20,4628,One year,Bank Transfer,Yes,1,0,154.26666666666668
C00376,33,196,2107,One year,Bank Transfer,Yes,0,0,61.970588235294116
C00377,36,192,3483,One year,Electronic Check,No,0,0,94.13513513513513
C00378,31,181,4712,Two year,Bank Transfer,No,1,0,147.25
