Tenure,MonthlyCharges,TotalCharges,PaperlessBilling,SeniorCitizen,Churn,Contract_One year,Contract_Two year,PaymentMethod_Credit Card,PaymentMethod_Electronic Check
70,171,4801,0,0,0,0,0,0,1
46,199,4023,1,0,0,0,0,0,1
65,82,7742,1,0,0,0,1,1,0
65,113,2956,1,0,0,0,0,1,0
51,160,4278,0,1,0,0,1,1,0
44,59,1893,1,0,0,0,0,1,0
7,142,3099,0,1,1,0,0,0,0
59,29,1393,1,0,0,1,0,0,1
8,102,2161,1,1,0,1,0,0,0
10,152,5250,1,1,1,0,0,1,0
67,182,6193,1,0,0,0,1,0,0
45,177,3091,0,0,0,1,0,0,0
33,198,2226,1,0,0,0,1,0,0
57,118,5412,0,1,0,0,1,1,0
67,37,1247,0,1,0,0,0,1,0
31,70,1256,0,0,0,0,0,1,0
19,43,6118,1,0,0,1,0,0,1
40,156,7024,0,0,0,1,0,0,1
24,142,7012,1,0,0,1,0,1,0
57,123,5830,1,0,0,0,0,0,0
53,183,4023,1,1,0,0,1,0,1
24,32,1635,0,1,0,1,0,0,0
32,149,5477,0,1,0,0,1,0,0
33,99,3225,0,1,0,1,0,1,0
20,151,2681,0,1,0,1,0,1,0
12,52,7459,0,0,0,0,1,0,1
61,24,217,0,1,0,1,0,0,1
65,94,7183,0,1,0,1,0,0,0
13,115,6305,0,1,0,0,1,1,0
61,51,810,0,0,0,1,0,0,0
33,151,6705,0,1,0,0,0,0,0
21,138,6404,1,1,0,0,1,1,0
56,108,6378,1,1,0,0,1,0,0
69,121,7669,1,0,0,1,0,0,1
16,196,7704,0,0,0,0,1,0,1
28,33,1099,0,1,0,0,1,1,0
53,123,4561,1,1,0,1,0,0,0
23,104,2991,0,0,0,0,1,0,1
15,60,3032,0,1,0,0,0,0,0
43,130,6856,0,0,0,1,0,0,0
60,48,4747,0,1,0,1,0,0,0
48,79,3083,1,1,0,1,0,0,0
58,90,3841,0,1,0,0,1,0,1
24,48,1639,1,0,0,0,0,0,1
9,138,515,0,0,1,0,1,1,0
55,71,1965,1,1,0,0,1,1,0
26,182,3882,1,0,0,0,0,0,1
31,88,4230,0,1,0,0,1,0,1
29,178,7961,1,0,0,0,1,0,1
65,30,6769,0,0,0,0,0,1,0
50,120,1839,1,0,0,0,1,1,0
54,191,6674,0,1,0,0,1,1,0
31,85,1935,1,0,0,1,0,0,1
49,41,7108,1,1,0,0,1,0,0
44,176,4069,0,0,0,0,1,0,0
1,39,2429,1,1,1,0,0,1,0
71,156,812,0,0,0,1,0,1,0
34,172,1619,1,1,0,0,1,0,1
6,115,1677,1,1,0,0,1,0,0
29,92,1792,1,0,0,0,0,1,0
69,177,2153,0,0,0,0,1,0,0
19,63,1186,0,1,0,0,1,0,1
43,81,7187,0,1,0,0,1,1,0
8,160,7182,0,1,1,0,0,0,0
43,85,6192,1,1,0,1,0,1,0
29,64,6131,1,0,0,1,0,0,1
67,142,1008,0,1,0,0,0,0,1
66,196,2989,0,0,0,0,0,0,1
49,94,4521,1,1,0,1,0,0,0
58,174,1493,0,0,0,0,1,1,0
3,72,4282,1,0,0,1,0,1,0
66,128,7087,0,1,0,1,0,0,1
57,43,6209,0,1,0,0,1,0,0
17,25,7759,0,1,0,0,1,1,0
18,158,7475,1,0,0,0,1,0,1
2,56,7493,0,1,1,0,0,0,1
13,94,261,1,0,0,0,0,0,0
26,171,6538,1,0,0,0,1,1,0
48,80,6186,1,1,0,0,0,0,1
11,60,627,0,0,0,1,0,0,1
42,83,1173,1,0,0,1,0,0,0
22,58,6472,0,1,0,1,0,0,1
57,123,5518,1,1,0,1,0,1,0
63,177,5573,1,0,0,1,0,1,0
65,59,6420,0,0,0,0,1,1,0
13,140,727,1,0,0,1,0,0,0
70,128,5423,1,0,0,0,0,0,0
6,59,6657,0,0,0,0,1,1,0
66,44,1995,1,0,0,1,0,0,1
15,163,4659,0,0,0,0,0,1,0
66,136,7139,0,0,0,0,0,0,0
47,193,5219,0,1,0,0,1,1,0
26,93,3151,1,0,0,1,0,0,1
14,176,5655,1,1,0,1,0,1,0
65,84,1193,0,1,0,0,0,0,1
58,128,7204,1,0,0,0,0,0,0
21,179,840,1,1,0,1,0,0,0
61,61,7474,0,1,0,0,0,1,0
11,88,7410,0,0,0,1,0,1,0
20,107,2288,1,1,0,0,1,0,0
55,169,1513,0,0,0,0,1,0,1
9,149,1431,0,0,1,0,0,0,1
41,98,7631,1,0,0,1,0,0,0
58,72,6062,0,0,0,0,0,0,0
61,177,5838,1,1,0,0,0,1,0
32,100,7901,1,0,0,1,0,1,0
46,192,169,1,0,0,0,0,0,0
28,185,4320,0,0,0,1,0,1,0
39,166,805,0,1,0,1,0,1,0
61,99,6541,0,0,0,0,0,0,1
38,63,5531,0,1,0,0,0,0,1
34,90,7911,0,0,0,0,0,0,1
43,63,4351,1,0,0,0,1,0,0
25,156,3381,0,1,0,1,0,0,0
52,60,2095,1,1,0,0,1,0,0
18,147,2845,1,0,0,0,0,0,0
9,55,4064,1,0,1,0,0,0,0
57,80,177,0,0,0,1,0,1,0
45,125,5533,0,0,0,1,0,1,0
51,98,6795,1,1,0,0,1,1,0
57,115,7867,1,0,0,0,0,0,1
29,90,2039,0,0,0,1,0,1,0
50,151,3525,1,0,0,1,0,0,1
25,180,6676,0,1,0,0,1,0,1
55,84,4026,1,0,0,0,0,1,0
31,40,7644,0,0,0,1,0,1,0
11,185,7387,1,0,0,1,0,0,0
43,70,1690,0,1,0,0,0,0,0
18,188,2878,0,0,0,0,0,0,1
9,24,3090,0,1,0,0,1,0,1
6,161,458,1,0,1,0,0,0,1
28,95,6110,0,1,0,1,0,0,1
4,20,5182,1,1,0,0,1,0,0
68,46,7768,0,0,0,0,0,0,1
58,142,1452,1,1,0,1,0,1,0
67,67,1052,1,1,0,0,0,0,1
32,80,2998,1,1,0,0,1,0,1
65,29,3138,0,1,0,1,0,0,0
10,89,6631,0,0,1,0,0,0,1
65,178,4809,0,0,0,1,0,0,1
3,129,7607,0,1,1,0,0,0,0
32,138,714,0,0,0,1,0,0,1
54,181,6354,1,0,0,0,0,0,1
57,187,774,1,0,0,1,0,0,0
34,38,7888,1,1,0,0,0,1,0
6,137,4804,1,0,1,1,0,0,1
7,54,1631,1,1,0,1,0,1,0
39,170,4762,0,0,0,0,0,0,1
44,68,1931,0,1,0,0,1,0,0
47,46,7361,1,1,0,1,0,1,0
66,184,1534,1,0,0,0,0,0,1
46,119,656,0,1,0,0,0,0,0
49,168,4471,1,1,0,0,1,0,0
45,118,4416,0,0,0,0,1,0,0
5,134,3651,1,1,1,1,0,1,0
30,138,1585,1,0,0,1,0,0,0
48,53,7371,0,0,0,0,1,1,0
17,24,1389,0,0,0,1,0,0,0
17,124,1196,0,1,0,0,0,1,0
33,101,2979,1,0,0,0,1,1,0
10,81,5158,1,1,0,1,0,0,1
37,58,5083,0,1,0,0,0,1,0
32,148,2526,0,1,0,0,1,0,1
20,49,5058,0,1,0,1,0,0,1
14,27,2388,1,0,0,0,1,0,0
57,126,1514,1,0,0,0,0,0,0
40,130,5612,1,1,0,1,0,0,1
29,20,4628,1,1,0,1,0,0,0
33,196,2107,1,0,0,1,0,0,0
36,192,3483,0,0,0,1,0,0,1
31,181,4712,0,1,0,0,1,0,0
41,76,4187,0,1,0,0,1,0,0
21,180,3061,0,0,0,1,0,0,0
68,67,2144,1,1,0,0,1,1,0
67,64,5558,1,0,0,1,0,1,0
24,185,1550,0,1,0,0,1,0,1
47,187,4343,1,1,0,1,0,0,0
1,188,7165,0,0,1,0,0,0,0
25,90,1649,0,1,0,0,0,1,0
70,168,2375,1,0,0,1,0,0,0
42,156,2302,0,0,0,0,1,0,1
42,126,5532,0,0,0,0,0,1,0
4,105,2534,1,0,1,0,0,0,1
3,79,1299,0,1,0,1,0,1,0
56,147,253,1,0,0,0,0,1,0
6,63,2156,1,1,1,0,0,1,0
22,65,1947,1,1,0,0,0,0,0
61,116,6302,1,0,0,1,0,0,1
57,134,2241,1,1,0,0,0,0,1
5,39,3370,1,0,1,0,0,1,0
59,95,7232,1,1,0,0,1,1,0
62,159,446,0,0,0,1,0,0,0
53,27,4429,0,0,0,0,1,0,1
6,198,6427,0,1,1,0,0,1,0
45,199,7564,1,0,0,0,0,1,0
69,115,4730,1,1,0,1,0,1,0
20,37,4631,0,0,0,0,0,0,1
25,184,7662,0,1,0,0,0,1,0
45,104,2541,0,1,0,0,0,0,1
3,75,3048,0,0,0,1,0,0,1
5,44,7840,0,0,0,1,0,1,0
48,46,6056,0,0,0,0,0,0,0
48,149,7690,1,1,0,0,0,0,0
23,134,4413,0,1,0,1,0,0,1
48,95,1168,1,0,0,1,0,0,0
64,131,3127,0,0,0,0,1,0,1
2,158,3460,0,0,0,0,1,0,1
48,87,6197,1,1,0,1,0,1,0
48,151,530,1,0,0,0,1,1,0
51,83,7409,1,0,0,0,1,0,0
59,183,4605,1,0,0,1,0,0,1
35,113,6754,0,1,0,0,0,0,0
18,53,6260,1,0,0,0,0,0,0
39,146,3886,1,1,0,1,0,0,0
14,158,1718,0,1,0,1,0,0,0
5,172,2066,0,1,0,1,0,0,0
5,93,3720,1,0,1,0,0,1,0
52,47,7270,1,0,0,0,1,0,1
54,61,1714,0,1,0,0,0,0,0
34,191,4220,1,0,0,1,0,0,0
3,178,1423,1,1,1,0,0,1,0
36,169,7102,0,1,0,1,0,0,1
10,21,4968,0,1,0,1,0,0,1
70,156,2011,1,0,0,0,1,1,0
62,116,2103,0,1,0,1,0,0,1
14,162,325,1,0,0,0,1,1,0
67,21,5850,1,0,0,0,1,0,1
8,152,499,0,0,1,0,0,0,1
29,151,1329,1,1,0,0,0,0,0
30,100,3098,0,0,0,0,0,0,1
68,93,3075,1,0,0,0,0,1,0
46,76,5865,0,1,0,1,0,0,1
60,47,6373,0,1,0,0,0,1,0
61,26,3471,0,0,0,1,0,1,0
52,70,5784,0,0,0,0,1,0,1
29,85,5965,0,0,0,0,1,1,0
59,126,6287,0,1,0,1,0,1,0
58,150,5290,0,1,0,1,0,1,0
8,168,7608,0,0,0,0,1,1,0
13,190,6568,1,1,0,0,0,0,1
50,190,6770,0,1,0,0,0,1,0
59,165,7758,1,1,0,1,0,0,1
15,113,6537,0,1,0,0,1,0,1
64,57,5241,0,0,0,1,0,0,1
19,192,2908,0,1,0,1,0,1,0
36,67,4566,0,1,0,0,0,0,1
68,24,3316,0,0,0,1,0,0,0
10,34,5589,0,0,1,0,0,1,0
1,30,6242,0,0,0,0,1,0,0
31,160,5208,1,1,0,1,0,0,1
1,186,622,1,1,1,0,1,0,1
53,102,7501,0,1,0,0,0,1,0
28,187,3207,1,0,0,1,0,0,1
49,80,3534,0,1,0,0,0,1,0
40,158,4093,1,0,0,1,0,0,1
56,143,6530,1,1,0,1,0,0,0
10,168,5667,1,1,1,1,0,0,1
63,125,6204,0,0,0,0,0,0,0
38,59,3970,0,0,0,1,0,1,0
46,37,5635,0,0,0,0,1,0,1
23,23,4012,1,1,0,1,0,0,1
53,146,6760,1,1,0,1,0,0,0
6,115,4534,1,1,1,0,0,0,0
2,194,5397,1,0,1,0,0,0,1
52,55,2628,0,1,0,0,0,1,0
45,187,1946,1,0,0,1,0,0,1
13,106,5999,0,1,0,0,1,1,0
19,82,7583,1,0,0,0,0,1,0
44,24,6003,1,1,0,0,1,1,0
14,131,903,1,1,0,0,1,0,1
29,117,3187,1,1,0,0,1,0,1
32,59,4807,0,1,0,0,0,1,0
11,160,4666,0,0,1,0,1,1,0
69,58,3105,1,0,0,1,0,0,1
32,199,5789,1,0,0,0,0,0,1
13,189,6302,0,0,0,0,1,0,0
27,147,7103,1,1,0,0,1,1,0
50,74,7599,0,1,0,0,0,1,0
66,67,6774,0,1,0,0,0,0,0
57,165,5425,0,0,0,0,0,1,0
9,72,2417,1,1,1,0,0,0,1
66,156,677,1,0,0,0,0,1,0
56,52,4061,1,1,0,1,0,0,1
44,30,4695,1,1,0,1,0,1,0
54,123,7652,0,1,0,0,0,0,1
2,114,5468,1,1,0,1,0,1,0
68,128,2102,1,1,0,0,0,0,1
22,164,2339,0,0,0,1,0,1,0
50,128,6970,1,1,0,0,0,1,0
2,49,5917,0,1,0,0,1,0,0
46,198,2158,0,0,0,0,0,0,0
1,185,5755,1,1,1,0,1,1,0
27,181,4292,0,1,0,0,0,0,0
